team_name,team_id,season,conference,conference_id,jersey,player,pos,yr,g,gs
Adams St. Grizzlies,929,2022,RMAC,13128,14,"Abeyta, Marcus",DM,Fr,0,0
Adams St. Grizzlies,929,2022,RMAC,13128,35,"Allen, Tim",GK,So,0,0
Adams St. Grizzlies,929,2022,RMAC,13128,18,"Anderson, Mason",ATT,Fr,8,4
Adams St. Grizzlies,929,2022,RMAC,13128,28,"Anderson, Connor",M,Fr,8,0
Adams St. Grizzlies,929,2022,RMAC,13128,22,"Austin, Jacob",M,Sr,9,7
Adams St. Grizzlies,929,2022,RMAC,13128,15,"Balabanoff, Dawson",M,So,9,4
Adams St. Grizzlies,929,2022,RMAC,13128,1,"Boonshaft, Josh",ATT,Fr,9,2
Adams St. Grizzlies,929,2022,RMAC,13128,32,"Brunson, Quinten",D,Fr,9,2
Adams St. Grizzlies,929,2022,RMAC,13128,13,"Butler, Kyle",ATT,Sr,3,1
Adams St. Grizzlies,929,2022,RMAC,13128,42,"Cameron, James",,Fr,0,0
Adams St. Grizzlies,929,2022,RMAC,13128,6,"Carberry, Brett",m,So,6,5
Adams St. Grizzlies,929,2022,RMAC,13128,46,"Cardoza, Daniel",DM,Fr,0,0
Adams St. Grizzlies,929,2022,RMAC,13128,8,"Coking, Kyle",M,So,9,5
Adams St. Grizzlies,929,2022,RMAC,13128,25,"Ferringer, Cody",,Fr,1,0
Adams St. Grizzlies,929,2022,RMAC,13128,20,"Fuss, Matt",D,Jr,9,8
Adams St. Grizzlies,929,2022,RMAC,13128,7,"Grass, Brennan",D,Sr,9,7
Adams St. Grizzlies,929,2022,RMAC,13128,49,"Hibler, Anthony",D,Jr,0,0
Adams St. Grizzlies,929,2022,RMAC,13128,40,"Hubbard, Tyler",ATT,So,5,1
Adams St. Grizzlies,929,2022,RMAC,13128,38,"Hubbard, Jake",ATT,Fr,0,0
Adams St. Grizzlies,929,2022,RMAC,13128,34,"Jardine, Grant",M,Fr,7,1
Adams St. Grizzlies,929,2022,RMAC,13128,29,"Johnson, Ron",M,So,7,5
Adams St. Grizzlies,929,2022,RMAC,13128,5,"Kelley, Justin",D,Sr,5,0
Adams St. Grizzlies,929,2022,RMAC,13128,44,"Klayman, Bryce",,Fr,2,0
Adams St. Grizzlies,929,2022,RMAC,13128,4,"Larm, Declan",DM,So,9,9
Adams St. Grizzlies,929,2022,RMAC,13128,43,"Leonard, Andrew",DM,So,3,0
Adams St. Grizzlies,929,2022,RMAC,13128,3,"Lodge, Mayson",M,Fr,2,0
Adams St. Grizzlies,929,2022,RMAC,13128,30,"Macy, Christian",M,Sr,0,0
Adams St. Grizzlies,929,2022,RMAC,13128,45,"Martinez, Dominic",M,Fr,3,0
Adams St. Grizzlies,929,2022,RMAC,13128,4,"McFarlane, Ian",M,Sr,9,9
Adams St. Grizzlies,929,2022,RMAC,13128,16,"Meyer, Colton",DM,Fr,1,0
Adams St. Grizzlies,929,2022,RMAC,13128,24,"Meyers, Luke",FO,Jr,9,8
Adams St. Grizzlies,929,2022,RMAC,13128,37,"Morrissey, Brennan",D,So,9,2
Adams St. Grizzlies,929,2022,RMAC,13128,48,"Navarro, Michael",GK,Sr,5,1
Adams St. Grizzlies,929,2022,RMAC,13128,19,"Northup, Brandon",M,Fr,6,0
Adams St. Grizzlies,929,2022,RMAC,13128,31,"Nudson, Dylan",ATT,Fr,2,0
Adams St. Grizzlies,929,2022,RMAC,13128,17,"Owens, Kris",DM,Fr,8,0
Adams St. Grizzlies,929,2022,RMAC,13128,23,"Peterson, Justin",FO,So,1,0
Adams St. Grizzlies,929,2022,RMAC,13128,39,"Roush, Chase",M,So,7,3
Adams St. Grizzlies,929,2022,RMAC,13128,12,"Rudebusch, Tyler",D,Fr,1,0
Adams St. Grizzlies,929,2022,RMAC,13128,26,"Sondrall, Ben",D,Fr,1,0
Adams St. Grizzlies,929,2022,RMAC,13128,10,"Thomas, Griffin",M,Fr,7,0
Adams St. Grizzlies,929,2022,RMAC,13128,30,"Wagner, William",ATT,Fr,1,0
Adams St. Grizzlies,929,2022,RMAC,13128,50,"Whitworth, Zach",D,So,0,0
Adams St. Grizzlies,929,2022,RMAC,13128,9,"Williams, Brendan",GK,Sr,9,8
Adams St. Grizzlies,929,2021,RMAC,13128,35,"Allen, Tim",GK,Fr,0,0
Adams St. Grizzlies,929,2021,RMAC,13128,22,"Austin, Jacob",M,Sr,6,6
Adams St. Grizzlies,929,2021,RMAC,13128,15,"Balabanoff, Dawson",M,Fr,8,6
Adams St. Grizzlies,929,2021,RMAC,13128,00,"Blake, Mckinley",M,Fr,0,0
Adams St. Grizzlies,929,2021,RMAC,13128,31,"Burtschi, Christopher",M,Jr,0,0
Adams St. Grizzlies,929,2021,RMAC,13128,28,"Butler, Levi",D,Fr,4,1
Adams St. Grizzlies,929,2021,RMAC,13128,13,"Butler, Kyle",ATT,Jr,8,7
Adams St. Grizzlies,929,2021,RMAC,13128,6,"Carberry, Brett",m,Fr,8,6
Adams St. Grizzlies,929,2021,RMAC,13128,10,"Chitwood, Kevin",D,Sr,1,0
Adams St. Grizzlies,929,2021,RMAC,13128,0,"Cody, Ferringer",,Fr,0,0
Adams St. Grizzlies,929,2021,RMAC,13128,8,"Coking, Kyle",M,Fr,8,4
Adams St. Grizzlies,929,2021,RMAC,13128,27,"Cooper, Bruce",M,Fr,2,2
Adams St. Grizzlies,929,2021,RMAC,13128,2,"Dekalaita, Nicholas",M,Fr,4,0
Adams St. Grizzlies,929,2021,RMAC,13128,25,"Ferringer, Cody",,N/A,4,0
Adams St. Grizzlies,929,2021,RMAC,13128,20,"Fuss, Matt",D,So,8,8
Adams St. Grizzlies,929,2021,RMAC,13128,7,"Grass, Brennan",D,Jr,7,7
Adams St. Grizzlies,929,2021,RMAC,13128,49,"Hibler, Anthony",D,So,1,0
Adams St. Grizzlies,929,2021,RMAC,13128,40,"Hubbard, Tyler",ATT,Fr,7,4
Adams St. Grizzlies,929,2021,RMAC,13128,16,"Kats, Blake",M,So,0,0
Adams St. Grizzlies,929,2021,RMAC,13128,5,"Kelley, Justin",D,Jr,4,0
Adams St. Grizzlies,929,2021,RMAC,13128,4,"Larm, Declan",DM,Fr,7,1
Adams St. Grizzlies,929,2021,RMAC,13128,43,"Leonard, Andrew",DM,Fr,6,0
Adams St. Grizzlies,929,2021,RMAC,13128,18,"Lumala, Timothy",DM,So,0,0
Adams St. Grizzlies,929,2021,RMAC,13128,30,"Macy, Christian",M,Jr,2,0
Adams St. Grizzlies,929,2021,RMAC,13128,4,"McFarlane, Ian",M,Jr,8,4
Adams St. Grizzlies,929,2021,RMAC,13128,24,"Meyers, Luke",FO,So,8,0
Adams St. Grizzlies,929,2021,RMAC,13128,37,"Morrissey, Brennan",D,Fr,7,1
Adams St. Grizzlies,929,2021,RMAC,13128,48,"Navarro, Michael",GK,Jr,3,0
Adams St. Grizzlies,929,2021,RMAC,13128,14,"Pacheco, Jose",D,Fr,0,0
Adams St. Grizzlies,929,2021,RMAC,13128,23,"Peterson, Justin",FO,Fr,8,2
Adams St. Grizzlies,929,2021,RMAC,13128,34,"Rodine, Chase",ATT,Jr,8,8
Adams St. Grizzlies,929,2021,RMAC,13128,12,"Rosas, Johnny",ATT,Sr,0,0
Adams St. Grizzlies,929,2021,RMAC,13128,39,"Roush, Chase",M,Fr,2,0
Adams St. Grizzlies,929,2021,RMAC,13128,11,"Van Arsdall, JD",M,Sr,7,1
Adams St. Grizzlies,929,2021,RMAC,13128,19,"Welch, Kyler",GK,Jr,3,0
Adams St. Grizzlies,929,2021,RMAC,13128,50,"Whitworth, Zach",D,Fr,4,2
Adams St. Grizzlies,929,2021,RMAC,13128,9,"Williams, Brendan",GK,Sr,8,8
Adams St. Grizzlies,929,2020,RMAC,13128,22,"Austin, Jacob",M,Jr,4,3
Adams St. Grizzlies,929,2020,RMAC,13128,31,"Burtschi, Christopher",M,So,0,0
Adams St. Grizzlies,929,2020,RMAC,13128,13,"Butler, Kyle",ATT,So,4,1
Adams St. Grizzlies,929,2020,RMAC,13128,10,"Chitwood, Kevin",D,Jr,1,1
Adams St. Grizzlies,929,2020,RMAC,13128,27,"Coleman, J.C.",ATT,Sr,0,0
Adams St. Grizzlies,929,2020,RMAC,13128,33,"Crouse, Tim",,Fr,4,2
Adams St. Grizzlies,929,2020,RMAC,13128,20,"Fuss, Matt",def,Fr,4,4
Adams St. Grizzlies,929,2020,RMAC,13128,42,"Gleason, Logan",D,Fr,0,0
Adams St. Grizzlies,929,2020,RMAC,13128,7,"Grass, Brennan",,So,4,3
Adams St. Grizzlies,929,2020,RMAC,13128,23,"Jones, Jacob",D,Jr,0,0
