team_name,team_id,season,conference,conference_id,jersey,player,yr,pos,g,gs,fouls,goals,assists,points,shots,shot_pct,sog,sog_pct,gwg,ppg,shg,ground_balls,turnovers,ct,f_os_won,f_os_taken,fo_pct,ggp,ggs,g_min,goals_allowed,gaa,saves,save_pct,t,freepos_shots,freepos_goals,rc,yc,draw_controls,clears,clr_att
Adelphi Panthers,3,2022,NE10,899,27,"McGrath, Kelly-Ann",So,M,21,0,6,14,3,17,28,0.5,20,0.714,NA,NA,NA,13,17,8,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,3,2,NA,3,34,NA,NA
Adelphi Panthers,3,2022,NE10,899,9,"Lawson, Tamia",So,M,21,0,2,7,4,11,18,0.389,15,0.833,NA,1,NA,9,12,NA,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,4,NA,NA,1,11,NA,NA
Adelphi Panthers,3,2022,NE10,899,6,"Kallansrude, Kristina",Jr,M,21,21,13,19,4,23,47,0.404,33,0.702,1,4,1,28,17,23,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,13,5,NA,1,54,NA,NA
Adelphi Panthers,3,2022,NE10,899,18,"Heuser, Kerrin",Jr,M,21,20,4,39,5,44,85,0.459,71,0.835,4,3,NA,27,21,10,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,9,4,NA,2,35,NA,NA
Adelphi Panthers,3,2022,NE10,899,24,"Flavin, Kasey",Sr,D,21,21,3,NA,1,1,NA,NA,NA,NA,NA,NA,NA,43,4,28,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,NA
Adelphi Panthers,3,2022,NE10,899,29,"McCabe, Christina",Sr,ATT,21,21,6,49,31,80,112,0.438,73,0.652,3,4,2,17,31,7,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,15,7,NA,1,1,NA,NA
Adelphi Panthers,3,2022,NE10,899,21,"Beebe, Alexandra",Sr,D,21,21,18,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,6,38,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,20,"Schweitzer, Kristina",Sr,ATT,21,18,1,17,11,28,31,0.548,22,0.71,1,1,NA,13,23,3,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA
Adelphi Panthers,3,2022,NE10,899,14,"Kolodinsky, Lillian",Sr,D,21,21,14,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,29,11,29,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA
Adelphi Panthers,3,2022,NE10,899,4,"Bifulco, Gianna",Sr,M,21,21,6,23,5,28,58,0.397,41,0.707,NA,1,NA,23,20,10,NA,0,NA,NA,NA,,NA,NA,NA,NA,NA,13,6,NA,2,4,NA,NA
