team_name,team_id,season,conference,conference_id,jersey,player,pos,yr,g,gs
Maine Maritime Mariners,378,2016,North Atlantic,30026,26,"Broderick, Brendan",,Fr,12,12
Maine Maritime Mariners,378,2016,North Atlantic,30026,16,"Dedian, Michael",,Sr,15,15
Maine Maritime Mariners,378,2016,North Atlantic,30026,3,"Doe, George",,Fr,15,2
Maine Maritime Mariners,378,2016,North Atlantic,30026,29,"Doucette, Zachary",,Fr,9,3
Maine Maritime Mariners,378,2016,North Atlantic,30026,7,"Flaherty, Christopher",,Fr,6,0
Maine Maritime Mariners,378,2016,North Atlantic,30026,15,"Grant, Tim",,Sr,15,15
Maine Maritime Mariners,378,2016,North Atlantic,30026,13,"Grant, Alec",,Fr,14,14
Maine Maritime Mariners,378,2016,North Atlantic,30026,8,"Grant-Roy, Alex",,So,15,8
Maine Maritime Mariners,378,2016,North Atlantic,30026,25,"Kretzmer, Justin",,So,15,15
Maine Maritime Mariners,378,2016,North Atlantic,30026,10,"Kruse, CJ",,Sr,15,0
Maine Maritime Mariners,378,2016,North Atlantic,30026,23,"LaFlamme, Jacob",,So,0,0
Maine Maritime Mariners,378,2016,North Atlantic,30026,4,"Martel, Michael",,Fr,14,12
Maine Maritime Mariners,378,2016,North Atlantic,30026,11,"McLellan, Ryan",,Sr,14,13
Maine Maritime Mariners,378,2016,North Atlantic,30026,32,"Nevins, John",,Fr,13,0
Maine Maritime Mariners,378,2016,North Atlantic,30026,6,"Page, Grafton",,Fr,15,1
Maine Maritime Mariners,378,2016,North Atlantic,30026,12,"Rondeau, Jacob",,So,15,1
Maine Maritime Mariners,378,2016,North Atlantic,30026,14,"Samuelson, Dean",,So,13,13
Maine Maritime Mariners,378,2016,North Atlantic,30026,21,"Schell, Cody",,Fr,15,15
Maine Maritime Mariners,378,2016,North Atlantic,30026,17,"Sturmer, Benjamin",,Fr,4,0
Maine Maritime Mariners,378,2016,North Atlantic,30026,20,"Whittemore, Chase",,So,15,11
Washington Col. Shoremen,753,2015,Centennial,9683,7,"Allen, Matt",,So,14,3
Washington Col. Shoremen,753,2015,Centennial,9683,3,"Antich, Christopher",,Fr,0,0
Washington Col. Shoremen,753,2015,Centennial,9683,46,"Barbieri, Tanner",,Fr,16,12
Washington Col. Shoremen,753,2015,Centennial,9683,26,"Birnbaum, Luke",,Sr,16,14
Washington Col. Shoremen,753,2015,Centennial,9683,19,"Birnbaum, Sam",,Sr,16,2
Washington Col. Shoremen,753,2015,Centennial,9683,23,"Bolland, Andrew",,Sr,5,2
Washington Col. Shoremen,753,2015,Centennial,9683,13,"Burke, Stephen",,So,0,0
Washington Col. Shoremen,753,2015,Centennial,9683,22,"Castellon, Ryan",,Sr,3,0
Washington Col. Shoremen,753,2015,Centennial,9683,43,"Christophe, Keita",,So,11,5
Washington Col. Shoremen,753,2015,Centennial,9683,32,"Cloud, Sam",,Fr,7,3
Washington Col. Shoremen,753,2015,Centennial,9683,36,"Cuccias, Joe",,Fr,9,2
Washington Col. Shoremen,753,2015,Centennial,9683,24,"Docktor, Andrew",,So,12,0
Washington Col. Shoremen,753,2015,Centennial,9683,17,"Evans, Owen",,So,7,7
Washington Col. Shoremen,753,2015,Centennial,9683,34,"Flood, Ben",,Fr,0,0
Washington Col. Shoremen,753,2015,Centennial,9683,12,"Gangemi, Kyle",,So,6,0
Washington Col. Shoremen,753,2015,Centennial,9683,1,"Goff, Stephen",,So,12,0
Washington Col. Shoremen,753,2015,Centennial,9683,45,"Harrington, Burke",,Jr,6,0
Washington Col. Shoremen,753,2015,Centennial,9683,41,"Heneberry, Jon",,So,15,0
Washington Col. Shoremen,753,2015,Centennial,9683,28,"Hepburn, Austin",,Fr,8,1
Washington Col. Shoremen,753,2015,Centennial,9683,29,"Hickey, Tim",,Fr,0,0
Washington Col. Shoremen,753,2015,Centennial,9683,33,"Hughes, Grant",,Sr,2,0
Washington Col. Shoremen,753,2015,Centennial,9683,39,"Hulsey, Graham",,Fr,9,0
Washington Col. Shoremen,753,2015,Centennial,9683,21,"Hurley, Brendon",,Jr,1,0
Washington Col. Shoremen,753,2015,Centennial,9683,16,"Jacobs, Peter",,Fr,2,0
Washington Col. Shoremen,753,2015,Centennial,9683,30,"Kelly, Zachary",,So,14,6
Washington Col. Shoremen,753,2015,Centennial,9683,5,"Leigh, Ryan",,So,6,0
Washington Col. Shoremen,753,2015,Centennial,9683,40,"Lloyd, Bennett",,So,9,2
Washington Col. Shoremen,753,2015,Centennial,9683,42,"Looney, Sid",,Jr,15,0
Washington Col. Shoremen,753,2015,Centennial,9683,4,"Luck, Stephen",,Sr,16,16
Washington Col. Shoremen,753,2015,Centennial,9683,2,"McBrien, David",,Jr,12,0
Washington Col. Shoremen,753,2015,Centennial,9683,49,"McManus, Pat",,Fr,1,0
Washington Col. Shoremen,753,2015,Centennial,9683,10,"Petzold, John",,Jr,0,0
Washington Col. Shoremen,753,2015,Centennial,9683,37,"Pierce, Brennan",,So,0,0
Washington Col. Shoremen,753,2015,Centennial,9683,15,"Pim, David",,Sr,13,0
Washington Col. Shoremen,753,2015,Centennial,9683,50,"Powers, Tyler",,Fr,16,11
Washington Col. Shoremen,753,2015,Centennial,9683,8,"Pulzello, Dan",,Sr,16,16
Washington Col. Shoremen,753,2015,Centennial,9683,25,"Rate, Will",,Jr,10,2
Washington Col. Shoremen,753,2015,Centennial,9683,48,"Richard, Nick",,Fr,0,0
Washington Col. Shoremen,753,2015,Centennial,9683,27,"Schweizer, Whitney",,Fr,0,0
Washington Col. Shoremen,753,2015,Centennial,9683,44,"Shaw, Tyler",,Sr,12,9
Washington Col. Shoremen,753,2015,Centennial,9683,6,"Shuart, Gavin",,Sr,12,3
Washington Col. Shoremen,753,2015,Centennial,9683,14,"Smith, Adam",,Sr,13,0
Washington Col. Shoremen,753,2015,Centennial,9683,11,"Szurley, Jackson",,So,15,14
Washington Col. Shoremen,753,2015,Centennial,9683,18,"Trapp, Michael",,Sr,15,14
Washington Col. Shoremen,753,2015,Centennial,9683,9,"Washington, Alex",,So,11,0
Washington Col. Shoremen,753,2015,Centennial,9683,20,"Wollman, Brad",,Jr,16,16
