team_name,team_id,season,conference,conference_id,jersey,player,yr,pos,g,gs,goals,assists,points,shots,shot_pct,sog,sog_pct,gwg,man_up_g,man_down_g,gb,to,ct,fo_won,f_os_taken,fo_pct,pen,pen_time,ggp,ggs,g_min,goals_allowed,gaa,saves,save_pct,rc,yc,clears,att,clear_pct,otg,fo_taken
Adams St. Grizzlies,929,2022,RMAC,13128,22,"Austin, Jacob",Sr,M,9,7,9,3,12,64,0.141,34,0.531,NA,NA,NA,12,19,8,NA,0,NA,2,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,32,"Brunson, Quinten",Fr,D,9,2,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,10,2,5,NA,2,NA,4,210,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,1,"Boonshaft, Josh",Fr,ATT,9,2,NA,1,1,12,NA,6,0.5,NA,NA,NA,7,13,2,NA,0,NA,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,37,"Morrissey, Brennan",So,D,9,2,1,NA,1,4,0.25,2,0.5,NA,NA,NA,12,10,3,NA,0,NA,6,210,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,15,"Balabanoff, Dawson",So,M,9,4,8,4,12,42,0.19,21,0.5,NA,1,NA,3,21,2,1,1,1,3,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,8,"Coking, Kyle",So,M,9,5,7,NA,7,52,0.135,23,0.442,1,NA,NA,6,25,6,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,4,"Larm, Declan",So,DM,9,9,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,23,13,11,NA,0,NA,2,210,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,24,"Meyers, Luke",Jr,FO,9,8,NA,NA,0,1,NA,NA,NA,NA,NA,NA,39,5,2,103,228,0.452,2,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,20,"Fuss, Matt",Jr,D,9,8,NA,NA,0,1,NA,1,1,NA,NA,NA,15,12,5,NA,0,NA,7,450,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,7,"Grass, Brennan",Sr,D,9,7,1,NA,1,4,0.25,3,0.75,NA,NA,NA,20,8,10,NA,0,NA,8,480,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,4,"McFarlane, Ian",Sr,M,9,9,NA,NA,0,1,NA,NA,NA,NA,NA,NA,3,7,NA,NA,0,NA,2,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,9,"Williams, Brendan",Sr,GK,9,8,NA,1,1,NA,NA,NA,NA,NA,NA,NA,15,5,3,NA,0,NA,NA,,9,8,422:07,130,18.478,102,0.44,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,18,"Anderson, Mason",Fr,ATT,8,4,2,NA,2,13,0.154,3,0.231,NA,NA,NA,3,8,2,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,17,"Owens, Kris",Fr,DM,8,0,1,NA,1,1,1,1,1,NA,NA,NA,2,5,1,NA,0,NA,3,120,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,28,"Anderson, Connor",Fr,M,8,0,NA,1,1,7,NA,1,0.143,NA,NA,NA,2,4,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,29,"Johnson, Ron",So,M,7,5,7,2,9,30,0.233,15,0.5,NA,NA,1,5,10,2,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,34,"Jardine, Grant",Fr,M,7,1,1,NA,1,2,0.5,1,0.5,NA,NA,NA,11,4,1,NA,0,NA,2,90,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,39,"Roush, Chase",So,M,7,3,2,1,3,8,0.25,3,0.375,NA,NA,NA,1,7,NA,NA,0,NA,1,30,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,10,"Thomas, Griffin",Fr,M,7,0,1,NA,1,4,0.25,3,0.75,NA,NA,NA,NA,4,NA,NA,0,NA,NA,,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adams St. Grizzlies,929,2022,RMAC,13128,19,"Northup, Brandon",Fr,M,6,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,4,6,2,NA,0,NA,2,60,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
