team_name,team_id,season,conference,conference_id,jersey,player,pos,yr,g,gs
Adelphi Panthers,3,2022,NE10,899,23,"Becker, Danielle",D,Fr,5,0
Adelphi Panthers,3,2022,NE10,899,21,"Beebe, Alexandra",D,Sr,21,21
Adelphi Panthers,3,2022,NE10,899,5,"Beier, Emily",ATT,Sr,21,21
Adelphi Panthers,3,2022,NE10,899,4,"Bifulco, Gianna",M,Sr,21,21
Adelphi Panthers,3,2022,NE10,899,12,"Birney, Kristen",ATT,Fr,5,0
Adelphi Panthers,3,2022,NE10,899,8,"Boulukos, Sophia",D,Fr,0,0
Adelphi Panthers,3,2022,NE10,899,3,"Broderick, Kailey",DM,Sr,20,20
Adelphi Panthers,3,2022,NE10,899,22,"Dugan, Casey",D,Sr,14,2
Adelphi Panthers,3,2022,NE10,899,24,"Flavin, Kasey",D,Sr,21,21
Adelphi Panthers,3,2022,NE10,899,11,"Giordano, Nicolette",M,Fr,6,0
Adelphi Panthers,3,2022,NE10,899,20,"Grant, Izzy",M,Sr,21,20
Adelphi Panthers,3,2022,NE10,899,18,"Heuser, Kerrin",M,Jr,21,20
Adelphi Panthers,3,2022,NE10,899,30,"Iavaroni, Jenna",D,So,2,0
Adelphi Panthers,3,2022,NE10,899,6,"Kallansrude, Kristina",M,Jr,21,21
Adelphi Panthers,3,2022,NE10,899,42,"Keener, Megan",ATT,Sr,8,1
Adelphi Panthers,3,2022,NE10,899,14,"Kolodinsky, Lillian",D,Sr,21,21
Adelphi Panthers,3,2022,NE10,899,25,"Lamonica, Kaylee",ATT,Jr,4,0
Adelphi Panthers,3,2022,NE10,899,9,"Lawson, Tamia",M,So,21,0
Adelphi Panthers,3,2022,NE10,899,17,"Lemanski, Emma",GK,Sr,21,21
Adelphi Panthers,3,2022,NE10,899,16,"Marchetta, Madison",GK,Fr,7,0
Adelphi Panthers,3,2022,NE10,899,10,"Marino, Danielle",M,Jr,4,3
Adelphi Panthers,3,2022,NE10,899,29,"McCabe, Christina",ATT,Sr,21,21
Adelphi Panthers,3,2022,NE10,899,27,"McGrath, Kelly-Ann",M,So,21,0
Adelphi Panthers,3,2022,NE10,899,2,"Mecca, Jamie",M,Jr,18,0
Adelphi Panthers,3,2022,NE10,899,15,"Miller, Lily",D,Jr,6,0
Adelphi Panthers,3,2022,NE10,899,26,"Pappas, Madison",M,So,4,0
Adelphi Panthers,3,2022,NE10,899,25,"Pickel, Meghan",M,Jr,9,0
Adelphi Panthers,3,2022,NE10,899,13,"Pugh, Samantha",D,Fr,8,0
Adelphi Panthers,3,2022,NE10,899,10,"Rafferty, Fiona",M,Jr,20,0
Adelphi Panthers,3,2022,NE10,899,20,"Schweitzer, Kristina",ATT,Sr,21,18
Adelphi Panthers,3,2022,NE10,899,32,"Turner, Alison",ATT,So,8,0
Adelphi Panthers,3,2022,NE10,899,1,"Zapparrata, Giovanna",ATT,Fr,9,0
Adelphi Panthers,3,2021,NE10,899,21,"Beebe, Alexandra",D,Jr,12,12
Adelphi Panthers,3,2021,NE10,899,4,"Bifulco, Gianna",M,Jr,12,12
Adelphi Panthers,3,2021,NE10,899,3,"Broderick, Kailey",DM,Sr,10,10
Adelphi Panthers,3,2021,NE10,899,11,"Catalanotti, Alessandra",M,Sr,0,0
Adelphi Panthers,3,2021,NE10,899,22,"Dugan, Casey",D,Sr,6,1
Adelphi Panthers,3,2021,NE10,899,7,"Ferrara, Christina",ATT,Sr,11,11
Adelphi Panthers,3,2021,NE10,899,19,"Fetherston, Molly",ATT,Sr,8,1
Adelphi Panthers,3,2021,NE10,899,1,"Flavin, Kerry Ann",D,Sr,13,13
Adelphi Panthers,3,2021,NE10,899,24,"Flavin, Kasey",D,Jr,9,3
Adelphi Panthers,3,2021,NE10,899,12,"Gillespie, Alyssa",M,Sr,11,11
Adelphi Panthers,3,2021,NE10,899,18,"Heuser, Kerrin",M,So,11,0
Adelphi Panthers,3,2021,NE10,899,30,"Iavaroni, Jenna",D,Fr,3,0
Adelphi Panthers,3,2021,NE10,899,16,"Johnson, Alison",ATT,Sr,11,11
Adelphi Panthers,3,2021,NE10,899,6,"Kallansrude, Kristina",M,So,13,13
Adelphi Panthers,3,2021,NE10,899,42,"Keener, Megan",ATT,Sr,4,0
Adelphi Panthers,3,2021,NE10,899,14,"Kolodinsky, Lillian",D,Jr,12,12
Adelphi Panthers,3,2021,NE10,899,25,"Lamonica, Kaylee",ATT,So,5,0
Adelphi Panthers,3,2021,NE10,899,9,"Lawson, Tamia",M,Fr,11,0
Adelphi Panthers,3,2021,NE10,899,17,"Lemanski, Emma",GK,Sr,12,12
Adelphi Panthers,3,2021,NE10,899,29,"McCabe, Christina",ATT,Jr,11,10
Adelphi Panthers,3,2021,NE10,899,27,"McGrath, Kelly-Ann",M,Fr,10,0
Adelphi Panthers,3,2021,NE10,899,2,"Mecca, Jamie",M,So,6,2
Adelphi Panthers,3,2021,NE10,899,15,"Miller, Lily",D,So,6,1
Adelphi Panthers,3,2021,NE10,899,26,"Pappas, Madison",M,Fr,0,0
Adelphi Panthers,3,2021,NE10,899,35,"Perry, Emily",GK,Sr,5,1
Adelphi Panthers,3,2021,NE10,899,8,"Pollock, Kole",ATT,Sr,13,13
Adelphi Panthers,3,2021,NE10,899,10,"Rafferty, Fiona",M,So,11,0
