team_name,team_id,season,conference,conference_id,jersey,player,pos,yr,g,gs
Brevard Tornados,30094,2020,NA,NA,10,"Demcovich, Chris",D,Sr,0,0
Brevard Tornados,30094,2020,NA,NA,22,"Duffie, Sam",ATT,Jr,0,0
Brevard Tornados,30094,2020,NA,NA,27,"Ellen, Nate",FO,So,0,0
Brevard Tornados,30094,2020,NA,NA,1,"Francois, Evan",,Jr,0,0
Brevard Tornados,30094,2020,NA,NA,97,"Kokal, Robert",LSM,Jr,0,0
Brevard Tornados,30094,2020,NA,NA,35,"McCarragher, Devin",GK,So,0,0
Brevard Tornados,30094,2020,NA,NA,23,"Pratt, Sean",,Sr,0,0
Brevard Tornados,30094,2020,NA,NA,9,"Ramos, Daniel",,Jr,0,0
Brevard Tornados,30094,2020,NA,NA,4,"Trejo, Steve",M,So,0,0
Brevard Tornados,30094,2020,NA,NA,6,"Vacchiano, Joel",,Jr,0,0
Bryn Athyn Lions,30188,2014,NA,NA,24,"Adams, Ben",D,N/A,8,7
Bryn Athyn Lions,30188,2014,NA,NA,12,"Altman, Steve",,N/A,7,0
Bryn Athyn Lions,30188,2014,NA,NA,30,"Bartalini, Matt",M,N/A,2,2
Bryn Athyn Lions,30188,2014,NA,NA,13,"Bartalini, Matthew",D,N/A,8,6
Bryn Athyn Lions,30188,2014,NA,NA,25,"Cranch, Eric",M,N/A,9,4
Bryn Athyn Lions,30188,2014,NA,NA,21,"DalCortivo, David",,N/A,3,0
Bryn Athyn Lions,30188,2014,NA,NA,1,"Donnelly, Michael",,N/A,9,4
Bryn Athyn Lions,30188,2014,NA,NA,10,"Fetko, Nick",M,N/A,9,9
Bryn Athyn Lions,30188,2014,NA,NA,9,"Feyler, Sean",A,N/A,6,6
Bryn Athyn Lions,30188,2014,NA,NA,2,"Frazier, Luke",A,N/A,9,9
Bryn Athyn Lions,30188,2014,NA,NA,3,"Johnson, Terrence",,N/A,8,0
Bryn Athyn Lions,30188,2014,NA,NA,4,"Lopez, Nelson",,N/A,7,3
Bryn Athyn Lions,30188,2014,NA,NA,7,"McCurdy, Travis",M,N/A,9,6
Bryn Athyn Lions,30188,2014,NA,NA,11,"Moran, Robert",G,N/A,9,9
Bryn Athyn Lions,30188,2014,NA,NA,18,"Mulhern, DJ",,N/A,3,0
Bryn Athyn Lions,30188,2014,NA,NA,14,"Ragan, Kieran",A,N/A,8,6
Bryn Athyn Lions,30188,2014,NA,NA,15,"Rogers, Colin",,N/A,7,4
Bryn Athyn Lions,30188,2014,NA,NA,17,"Roscioli, Dylan",D,N/A,9,9
Bryn Athyn Lions,30188,2014,NA,NA,23,"Silvers, Ben",,N/A,6,0
Bryn Athyn Lions,30188,2014,NA,NA,8,"Strange, Mark",,N/A,8,3
Bryn Athyn Lions,30188,2014,NA,NA,19,"Triesler, Daniel",,N/A,5,0
Bryn Athyn Lions,30188,2014,NA,NA,16,"Weissler, Ray",,N/A,0,0
Bryn Athyn Lions,30188,2014,NA,NA,6,"Witmyer, Scott",,N/A,5,3
Dean Bulldogs,30219,2017,NA,NA,6,"Adams, Derick",,N/A,11,0
Dean Bulldogs,30219,2017,NA,NA,37,"Allard, Anthony",,N/A,3,0
Dean Bulldogs,30219,2017,NA,NA,31,"Anderson, Jake",G,N/A,12,12
Dean Bulldogs,30219,2017,NA,NA,8,"Auger, Justin",,N/A,11,0
Dean Bulldogs,30219,2017,NA,NA,2,"Bennett, Justin",,N/A,5,0
Dean Bulldogs,30219,2017,NA,NA,14,"Burcoff, Nathaniel",,N/A,7,0
Dean Bulldogs,30219,2017,NA,NA,16,"Carr, Aidan",D,N/A,12,12
Dean Bulldogs,30219,2017,NA,NA,15,"Cirillo, Anthony",,N/A,9,0
Dean Bulldogs,30219,2017,NA,NA,21,"Cugini, Gianni",,N/A,3,0
Dean Bulldogs,30219,2017,NA,NA,12,"Demoranville, Ethan",,N/A,6,0
Dean Bulldogs,30219,2017,NA,NA,20,"Fredericks, Brody",,N/A,11,6
Dean Bulldogs,30219,2017,NA,NA,22,"Gannon, Sean",,N/A,1,0
Dean Bulldogs,30219,2017,NA,NA,40,"Gurnari, Francesco",,N/A,3,0
Dean Bulldogs,30219,2017,NA,NA,34,"Hinrichs, Colin",A,N/A,12,11
Dean Bulldogs,30219,2017,NA,NA,7,"Johnston, Rob",,N/A,10,1
Dean Bulldogs,30219,2017,NA,NA,5,"Jordan, Juniel",,N/A,11,0
Dean Bulldogs,30219,2017,NA,NA,1,"Kydes, Andrew",M,N/A,12,12
Dean Bulldogs,30219,2017,NA,NA,18,"Lovely, Jimmy",M,N/A,12,12
