team_name,team_id,head_coach,seasons_coached,wins,losses,ties,wl_per
Adams St. Grizzlies,929,Jason Levesque,2,8,21,0,0.276
Adams St. Grizzlies,929,John McCreery,3,12,25,0,0.324
Adams St. Grizzlies,929,Keith Lindgren,2,9,18,0,0.333
Adams St. Grizzlies,929,Jason Lamb,1,1,10,0,0.091
Adams St. Grizzlies,929,Jerome Austin,4,4,31,0,0.114
Adelphi Panthers,3,Gordon Purdie,15,172,55,0,0.758
Adelphi Panthers,3,Claude Ruggian,12,32,65,2,0.333
Adelphi Panthers,3,Lou Flego,10,62,56,3,0.525
Adelphi Panthers,3,Paul Doherty,22,184,111,0,0.624
Adelphi Panthers,3,Sandy Kapatos,14,115,58,0,0.665
Adelphi Panthers,3,Kevin Sheehan,2,14,9,0,0.609
Adrian Bulldogs,4,Scott Morrison,4,18,41,0,0.305
Adrian Bulldogs,4,Don LaSala,3,44,10,0,0.815
Adrian Bulldogs,4,Brendan Hayes,2,25,6,0,0.806
Adrian Bulldogs,4,Chris Delfausse,2,16,12,0,0.571
Adrian Bulldogs,4,Brett Wetzel,4,23,28,0,0.451
Albertus Magnus Falcons,2798,Darryl Delia,9,25,86,0,0.225
Albion Britons,15,Jacob DeCola,13,125,83,0,0.601
Albright Lions,16,Jamie Lockard,1,7,10,0,0.412
Albright Lions,16,Jake Plunket,4,57,17,0,0.77
Albright Lions,16,James Malone,6,25,53,0,0.321
Albright Lions,16,Erich Skelly,0,0,0,0,NA
Alderson Broaddus Battlers,934,Chris Lukas,6,15,64,0,0.19
Alderson Broaddus Battlers,934,Robert Bennett,1,0,13,0,0
Alderson Broaddus Battlers,934,Ace Mallonee,3,3,24,0,0.111
Alfred Saxons,18,Jason Lockner,17,118,115,0,0.506
Alfred Saxons,18,Arthur Van Auken,3,4,17,0,0.19
Alfred Saxons,18,Leonard Obergfell,11,41,78,0,0.345
Alfred Saxons,18,Preston Chapman,7,35,58,0,0.376
Alfred Saxons,18,Bert Severns,4,23,22,0,0.511
Alfred Saxons,18,Joe Rotellini,1,9,2,0,0.818
Alfred Saxons,18,Larry Hall,3,18,16,0,0.529
Alfred Saxons,18,Matt Kerwick,3,24,17,0,0.585
Alfred Saxons,18,Al Brown,7,85,25,0,0.773
Alfred Saxons,18,B.J. O'Hara,1,6,5,0,0.545
Allegheny Gators,19,Tommy Pearce,3,7,23,0,0.233
Alma Scots,21,Michael Kinney,5,51,38,0,0.573
Alma Scots,21,Jason Levesque,3,9,37,0,0.196
Alma Scots,21,Adam Nycz,3,12,23,0,0.343
Alvernia Golden Wolves,938,Ryan Sheaffer,7,23,92,0,0.2
Alvernia Golden Wolves,938,Kevin Meany,7,16,88,0,0.154
Alvernia Golden Wolves,938,Dave Cronce,1,0,7,0,0
Alvernia Golden Wolves,938,Richard Carrington,1,2,14,0,0.125
Alvernia Golden Wolves,938,Carl Haas,3,5,17,0,0.227
Alvernia Golden Wolves,938,Michael Sullinger,1,1,15,0,0.063
American Int'l Yellow Jackets,22,Shannon Sligo,9,11,117,0,0.086
American Int'l Yellow Jackets,22,James Wilkins,2,0,20,0,0
