team_name,team_id,season,head_coach,division,conference,conference_id,wins,losses,ties,wl_per,notes
Adams St. Grizzlies,929,2023,Jerome Austin,2,RMAC,13128,0,0,0,0,NA
Adams St. Grizzlies,929,2022,Jerome Austin,2,RMAC,13128,1,9,0,0.1,NA
Adams St. Grizzlies,929,2021,Jerome Austin,2,RMAC,13128,0,8,0,0,NA
Adams St. Grizzlies,929,2020,Jerome Austin,2,RMAC,13128,0,4,0,0,NA
Adams St. Grizzlies,929,2019,Jerome Austin,2,RMAC,13128,3,10,0,0.231,NA
Adams St. Grizzlies,929,2018,Keith Lindgren,2,RMAC,13128,4,10,0,0.286,NA
Adams St. Grizzlies,929,2017,Keith Lindgren,2,RMAC,13128,5,8,0,0.385,NA
Adams St. Grizzlies,929,2016,Jason Levesque,2,RMAC,13128,4,10,0,0.286,NA
Adams St. Grizzlies,929,2015,Jason Levesque,2,NA,NA,4,11,0,0.267,NA
Adams St. Grizzlies,929,2014,John McCreery,2,NA,NA,4,8,0,0.333,NA
Adams St. Grizzlies,929,2013,John McCreery,2,Division II Independents,NA,3,9,0,0.25,NA
Adams St. Grizzlies,929,2012,John McCreery,2,Division II Independents,NA,5,8,0,0.385,NA
Adams St. Grizzlies,929,2011,Jason Lamb,2,NA,NA,1,10,0,0.091,Inaugural Varsity Season
Adelphi Panthers,3,2023,Gordon Purdie,2,NE10,899,0,0,0,0,NA
Adelphi Panthers,3,2022,Gordon Purdie,2,NE10,899,15,2,0,0.882,NA
Adelphi Panthers,3,2021,Gordon Purdie,2,NE10,899,7,3,0,0.7,NA
Adelphi Panthers,3,2020,Gordon Purdie,2,NE10,899,1,2,0,0.333,NA
Adelphi Panthers,3,2019,Gordon Purdie,2,NE10,899,16,3,0,0.842,NA
Adelphi Panthers,3,2018,Gordon Purdie,2,NE10,899,11,4,0,0.733,NA
Adelphi Panthers,3,2017,Gordon Purdie,2,NE10,899,15,4,0,0.789,NA
Adelphi Panthers,3,2016,Gordon Purdie,2,NE10,899,12,5,0,0.706,NA
Adelphi Panthers,3,2015,Gordon Purdie,2,NE10,899,15,3,0,0.833,NA
Adelphi Panthers,3,2014,Gordon Purdie,2,NE10,899,17,2,0,0.895,NA
Adelphi Panthers,3,2013,Gordon Purdie,2,NE10,899,14,3,0,0.824,NA
Adelphi Panthers,3,2012,Gordon Purdie,2,NE10,899,13,3,0,0.813,NA
Adelphi Panthers,3,2011,Gordon Purdie,2,NE10,899,16,3,0,0.842,NA
Adelphi Panthers,3,2010,Gordon Purdie,2,NE10,899,10,5,0,0.667,NA
Adelphi Panthers,3,2009,Gordon Purdie,2,ECC,11265,3,8,0,0.273,NA
Adelphi Panthers,3,2008,Gordon Purdie,2,ECC,11265,7,5,0,0.583,NA
Adelphi Panthers,3,2007,Sandy Kapatos,2,ECC,11265,5,8,0,0.385,NA
Adelphi Panthers,3,2006,Sandy Kapatos,2,ECC,11265,8,5,0,0.615,NA
Adelphi Panthers,3,2005,Sandy Kapatos,2,ECC,11265,4,6,0,0.4,NA
Adelphi Panthers,3,2004,Sandy Kapatos,2,NA,NA,7,4,0,0.636,NA
Adelphi Panthers,3,2003,Sandy Kapatos,2,ECC,11265,9,2,0,0.818,NA
Adelphi Panthers,3,2002,Sandy Kapatos,2,ECC,11265,9,3,0,0.75,NA
Adelphi Panthers,3,2001,Sandy Kapatos,2,NA,NA,12,2,0,0.857,NA
Adelphi Panthers,3,2000,Sandy Kapatos,2,NA,NA,8,3,0,0.727,NA
Adelphi Panthers,3,1999,Sandy Kapatos,2,NA,NA,10,3,0,0.769,NA
Adelphi Panthers,3,1998,Sandy Kapatos,2,NA,NA,12,3,0,0.8,NA
Adelphi Panthers,3,1997,Sandy Kapatos,2,NA,NA,11,2,0,0.846,NA
Adelphi Panthers,3,1996,Sandy Kapatos,2,NA,NA,7,6,0,0.538,NA
Adelphi Panthers,3,1995,Sandy Kapatos,2,NA,NA,10,3,0,0.769,NA
Adelphi Panthers,3,1994,Sandy Kapatos,2,NA,NA,3,8,0,0.273,NA
Adelphi Panthers,3,1993,Kevin Sheehan,2,NA,NA,8,3,0,0.727,NA
Adelphi Panthers,3,1992,Kevin Sheehan,2,NA,NA,6,6,0,0.5,NA
Adelphi Panthers,3,1991,Paul Doherty,2,NA,NA,6,5,0,0.545,NA
Adelphi Panthers,3,1990,Paul Doherty,2,NA,NA,8,6,0,0.571,NA
Adelphi Panthers,3,1989,Paul Doherty,2,NA,NA,12,3,0,0.8,NA
Adelphi Panthers,3,1988,Paul Doherty,2,NA,NA,3,8,0,0.273,NA
Adelphi Panthers,3,1987,Paul Doherty,2,NA,NA,9,4,0,0.692,NA
Adelphi Panthers,3,1986,Paul Doherty,2,NA,NA,7,4,0,0.636,NA
Adelphi Panthers,3,1985,Paul Doherty,2,NA,NA,8,4,0,0.667,NA
Adelphi Panthers,3,1984,Paul Doherty,2,NA,NA,8,6,0,0.571,NA
Adelphi Panthers,3,1983,Paul Doherty,2,NA,NA,6,7,0,0.462,NA
Adelphi Panthers,3,1982,Paul Doherty,2,NA,NA,10,4,0,0.714,NA
Adelphi Panthers,3,1981,Paul Doherty,2,NA,NA,10,2,0,0.833,NA
Adelphi Panthers,3,1980,Paul Doherty,2,NA,NA,10,4,0,0.714,NA
Adelphi Panthers,3,1979,Paul Doherty,2,NA,NA,13,3,0,0.813,NA
Adelphi Panthers,3,1978,Paul Doherty,2,NA,NA,5,7,0,0.417,NA
Adelphi Panthers,3,1977,Paul Doherty,2,NA,NA,9,5,0,0.643,NA
Adelphi Panthers,3,1976,Paul Doherty,2,NA,NA,11,5,0,0.688,NA
Adelphi Panthers,3,1975,Paul Doherty,2,NA,NA,8,5,0,0.615,NA
Adelphi Panthers,3,1974,Paul Doherty,2,NA,NA,8,6,0,0.571,NA
Adelphi Panthers,3,1973,Paul Doherty,2,NA,NA,7,5,0,0.583,NA
Adelphi Panthers,3,1972,Paul Doherty,2,NA,NA,9,7,0,0.563,NA
Adelphi Panthers,3,1971,Paul Doherty,2,NA,NA,9,5,0,0.643,NA
Adelphi Panthers,3,1970,Paul Doherty,2,NA,NA,8,6,0,0.571,NA
Adelphi Panthers,3,1969,Lou Flego,2,NA,NA,3,9,0,0.25,NA
Adelphi Panthers,3,1968,Lou Flego,2,NA,NA,7,7,0,0.5,NA
Adelphi Panthers,3,1967,Lou Flego,2,NA,NA,8,3,0,0.727,NA
Adelphi Panthers,3,1966,Lou Flego,2,NA,NA,4,8,0,0.333,NA
Adelphi Panthers,3,1965,Lou Flego,2,NA,NA,6,5,0,0.545,NA
Adelphi Panthers,3,1964,Lou Flego,2,NA,NA,5,6,2,0.462,NA
Adelphi Panthers,3,1963,Lou Flego,2,NA,NA,10,2,1,0.808,NA
Adelphi Panthers,3,1962,Lou Flego,2,NA,NA,8,3,0,0.727,NA
Adelphi Panthers,3,1961,Lou Flego,2,NA,NA,9,4,0,0.692,NA
Adelphi Panthers,3,1960,Lou Flego,2,NA,NA,2,9,0,0.182,NA
