gender,year,id
Men's,2010,10301
Men's,2011,10500
Men's,2012,10860
Men's,2013,11380
Men's,2014,11580
Men's,2015,12121
Men's,2016,12380
Men's,2017,12561
Men's,2018,13920
Men's,2019,14840
Men's,2020,15203
Men's,2021,15560
Men's,2022,15921
Men's,2023,16320
Women's,2010,10320
Women's,2011,10522
Women's,2012,10880
Women's,2013,11340
Women's,2014,11660
Women's,2015,12140
Women's,2016,12385
Women's,2017,12581
Women's,2018,12926
Women's,2019,14340
Women's,2020,15181
Women's,2021,15561
Women's,2022,15840
Women's,2023,16300
