team_name,team_id,season,head_coach,division,conference,wins,losses,ties,wl_per,notes
Adelphi Panthers,3,2023,Pat McCabe,2,NE10,0,0,0,0,NA
Adelphi Panthers,3,2022,Pat McCabe,2,NE10,18,3,0,0.857,NA
Adelphi Panthers,3,2021,Pat McCabe,2,NE10,9,4,0,0.692,NA
Adelphi Panthers,3,2020,Pat McCabe,2,NE10,3,1,0,0.75,NA
Adelphi Panthers,3,2019,Pat McCabe,2,NE10,19,3,0,0.864,NA
Adelphi Panthers,3,2018,Pat McCabe,2,NE10,19,3,0,0.864,NA
Adelphi Panthers,3,2017,Pat McCabe,2,NE10,21,1,0,0.955,NA
Adelphi Panthers,3,2016,Pat McCabe,2,NE10,21,1,0,0.955,NA
Adelphi Panthers,3,2015,Pat McCabe,2,NE10,21,1,0,0.955,NA
Adelphi Panthers,3,2014,Rob Grella,2,NE10,22,0,0,1,NA
Adelphi Panthers,3,2013,Rob Grella,2,NE10,18,3,0,0.857,NA
Adelphi Panthers,3,2012,Rob Grella,2,NE10,16,3,0,0.842,NA
Adelphi Panthers,3,2011,Joe Spallina,2,NE10,20,0,0,1,NA
Adelphi Panthers,3,2010,Joe Spallina,2,NE10,19,1,0,0.95,NA
Adelphi Panthers,3,2009,Joe Spallina,2,ECC,18,0,0,1,NA
Adelphi Panthers,3,2008,Joe Spallina,2,ECC,16,1,0,0.941,NA
Adelphi Panthers,3,2007,Jill Lessne,2,NA,13,2,0,0.867,NA
Adelphi Panthers,3,2006,Jill Lessne,2,ECC,16,1,0,0.941,NA
Adelphi Panthers,3,2005,Jill Lessne,2,NA,14,2,0,0.875,NA
Adelphi Panthers,3,2004,Jill Lessne,2,NA,13,1,0,0.929,NA
Adelphi Panthers,3,2003,Jill Lessne,2,NA,10,2,0,0.833,NA
Adelphi Panthers,3,2002,Jill Lessne,2,ECC,11,4,0,0.733,NA
Adelphi Panthers,3,2001,Jill Lessne,2,NA,4,6,0,0.4,NA
Adrian Bulldogs,4,2023,Kali Bills,3,Michigan Intercol. Ath. Assn.,0,0,0,0,NA
Adrian Bulldogs,4,2022,Kali Bills,3,Michigan Intercol. Ath. Assn.,4,12,0,0.25,NA
Adrian Bulldogs,4,2021,Brett Asher,3,Michigan Intercol. Ath. Assn.,3,11,0,0.214,NA
Adrian Bulldogs,4,2020,Brett Asher,3,Michigan Intercol. Ath. Assn.,2,2,0,0.5,NA
Adrian Bulldogs,4,2019,Brett Asher,3,Michigan Intercol. Ath. Assn.,8,7,0,0.533,NA
Adrian Bulldogs,4,2018,Elizabeth Szymanski,3,Michigan Intercol. Ath. Assn.,2,13,0,0.133,NA
Adrian Bulldogs,4,2017,Elizabeth Szymanski,3,Michigan Intercol. Ath. Assn.,5,9,0,0.357,NA
Adrian Bulldogs,4,2016,Elizabeth Szymanski,3,Michigan Intercol. Ath. Assn.,4,11,0,0.267,NA
Adrian Bulldogs,4,2015,Elizabeth Szymanski,3,Michigan Intercol. Ath. Assn.,0,12,0,0,NA
Adrian Bulldogs,4,2014,Melissa Nakasuji,3,Michigan Intercol. Ath. Assn.,12,6,0,0.667,NA
Adrian Bulldogs,4,2013,Cibulas Cibulas,3,Michigan Intercol. Ath. Assn.,17,3,0,0.85,NA
Adrian Bulldogs,4,2012,Cibulas Cibulas,3,MWLC,16,2,1,0.868,NA
Adrian Bulldogs,4,2011,John Sung,3,MWLC,16,5,0,0.762,NA
Adrian Bulldogs,4,2010,John Sung,3,NA,14,3,0,0.824,NA
Adrian Bulldogs,4,2009,John Sung,3,NA,10,4,0,0.714,NA
Adrian Bulldogs,4,2008,John Sung,3,NA,6,7,0,0.462,NA
Akron Zips,5,2023,Christy Mitchell,1,MAC,0,0,0,0,NA
Akron Zips,5,2022,Christy Mitchell,1,MAC,2,15,0,0.118,NA
Akron Zips,5,2021,Christy Mitchell,1,MAC,7,8,0,0.467,NA
Akron Zips,5,2020,Christy Mitchell,1,ASUN,0,7,0,0,NA
Alabama Huntsville Chargers,10,2023,Akasha Kaspar,2,Gulf South,0,0,0,0,
Alabama Huntsville Chargers,10,2022,Akasha Kaspar,2,Gulf South,11,6,0,0.647,
Alabama Huntsville Chargers,10,2021,Gail Wallach,2,Gulf South,12,3,0,0.8,
Alabama Huntsville Chargers,10,2020,Gail Wallach,2,Gulf South,5,2,0,0.714,
Alabama Huntsville Chargers,10,2019,Gail Wallach,2,Gulf South,16,3,0,0.842,
Alabama Huntsville Chargers,10,2018,Gail Wallach,2,Gulf South,13,5,0,0.722,
Alabama Huntsville Chargers,10,2017,Gail Wallach,2,Gulf South,14,5,0,0.737,
Alabama Huntsville Chargers,10,2016,Gail Wallach,2,Gulf South,14,4,0,0.778,First season as a varsity sport
