team_id,team_name
3,Adelphi Panthers
4,Adrian Bulldogs
5,Akron Zips
10,Alabama Huntsville Chargers
2798,Albertus Magnus Falcons
15,Albion Britons
16,Albright Lions
934,Alderson Broaddus Battlers
18,Alfred Saxons
19,Allegheny Gators
1277,Alliance Lady Warriors
21,Alma Scots
938,Alvernia Golden Wolves
23,American Eagles
22,American Int'l Yellow Jackets
24,Amherst Mammoths
939,Anderson (IN) Ravens
26,Anna Maria AMCATS
966,Arcadia Knights
28,Arizona St. Sun Devils
725,Army West Point Black Knights
35,Ashland Eagles
36,Assumption Greyhounds
38,Augsburg Auggies
40,Augustana (IL) Vikings
42,Aurora Spartans
44,Averett Cougars
45,Babson Beavers
46,Baldwin Wallace Yellow Jackets
962,Bard Raptors
15646,Barton Bulldogs
50,Bates Bobcats
2683,Belmont Abbey Crusaders
53,Beloit Buccaneers
56,Bentley Falcons
973,Berry Vikings
59,Bethany (WV) Bison
62,Binghamton Bearcats
28593,Birmingham-So. Panthers
65,Bloomsburg Huskies
67,Boston College Eagles
68,Boston U. Terriers
69,Bowdoin Polar Bears
30094,Brevard Tornados
74,Bridgeport Purple Knights
75,Bridgewater (VA) Eagles
76,Bridgewater St. Bears
80,Brown Bears
81,Bryant Bulldogs
30188,Bryn Athyn Lions
82,Bryn Mawr Owls
83,Bucknell Bison
85,Buffalo St.  Bengals
87,Butler Bulldogs
88,Cabrini Cavaliers
1305,Cairn Highlanders
105,Cal Lutheran Regals
995,Caldwell Cougars
107,California Golden Bears
114,Calvin Knights
115,Campbell Camels
116,Canisius Golden Griffins
117,Capital Comets
120,Carroll (WI) Pioneers
121,Carthage Firebirds
123,Castleton Spartans
1001,Catawba Catawba Lady Indians
124,Catholic Cardinals
23624,Cazenovia Wildcats
14795,Cedar Crest Falcons
12884,Centenary (NJ) Cyclones
127,Central Conn. St. Blue Devils
129,Central Mich. Chippewas
132,Centre Colonels
134,Chapman Panthers
1013,Charleston (WV) Golden Eagles
10972,Chatham Cougars
21323,Chestnut Hill Griffins
8875,Chowan Hawks
139,Chris. Newport Captains
140,Cincinnati Bearcats
142,Claremont-M-S Athenas
145,Clark (MA) Cougars
146,Clarkson Golden Knights
451,CMSV Dolphins
722,Coast Guard Bears
149,Coastal Carolina Chanticleers
1023,Coker Cobras
151,Colby Mules
152,Colby-Sawyer Chargers
153,Colgate Raiders
157,Colorado Buffaloes
154,Colorado Col. Tigers
11416,Colorado Mesa Mavericks
158,Columbia Lions
160,Concordia Chicago Cougars
1036,Concordia Wisconsin Falcons
9081,Concordia-St. Paul Golden Bears
163,Connecticut Col. Camels
8935,Converse Valkyries
167,Cornell Big Red
166,Cornell College Rams
2720,CSU Pueblo ThunderWolves
170,Curry Colonels
1059,D'Youville Saints
30174,Daemen Wildcats
172,Dartmouth Big Green
30221,Davenport Panthers
173,Davidson Wildcats
174,Davis & Elkins Senators
30219,Dean Bulldogs
180,Delaware Blue Hens
178,Delaware St. Hornets
179,Delaware Valley Aggies
182,Denison Big Red
183,Denver Pioneers
177,DePauw Tigers
20,DeSales Bulldogs
184,Detroit Mercy Titans
185,Dickinson Red Devils
186,Dist. Columbia Firebirds
8956,Dominican (NY) Lady Chargers
190,Drew Rangers
191,Drexel Dragons
193,Duke Blue Devils
194,Duquesne Dukes
195,Earlham Quakers
196,East Carolina Pirates
197,East Stroudsburg Warriors
203,East. Mennonite Royals
200,Eastern Conn. St. Warriors
8968,Eastern Eagles
1066,Edgewood Eagles
209,Edinboro Fighting Scots
211,Elizabethtown Blue Jays
212,Elmhurst Bluejays
532,Elms Blazers
1068,Elon Phoenix
9680,Embry-Riddle (FL) Eagles
214,Emerson Lions
30193,Emmanuel (GA) Lions
215,Emmanuel (MA) Saints
8981,Endicott Gulls
1072,Erskine Flying Fleet
220,Fairfield Stags
222,Fairleigh Dickinson Knights
27892,Farmingdale St. Rams
221,FDU-Florham Devils
23157,Felician Golden Falcons
225,Ferrum Panthers
1079,Findlay Oilers
227,Fitchburg St. Falcons
233,Fla. Southern Moccasins
30092,Flagler Saints
235,Florida Gators
230,Florida Tech Panthers
1083,Fort Lewis Skyhawks
238,Framingham St. Rams
30069,Franciscan Lady Barons
239,Franklin & Marshall Diplomats
2694,Franklin Grizzlies
241,Franklin Pierce Ravens
242,Fredonia Blue Devils
243,Frostburg St. Bobcats
244,Furman Paladins
246,Gannon Lady Knights
1092,Gardner-Webb Runnin' Bulldogs
1094,George Fox Bruins
248,George Mason Patriots
249,George Washington Colonials
251,Georgetown Hoyas
9004,Georgian Court Lions
258,Gettysburg Bullets
1099,Gordon Fighting Scots
1467,Goucher Gophers
262,Grand Valley St. Lakers
263,Greensboro Greensboro Pride
265,Grove City Wolverines
1112,Guilford Quakers
12399,Gwynedd Mercy Griffins
267,Hamilton Continentals
268,Hamline Pipers
1115,Hanover Panthers
273,Hartwick Hawks
275,Harvard Crimson
276,Haverford Fords
1124,Hendrix Warriors
19651,High Point Panthers
283,Hofstra Pride
284,Hollins 
285,Holy Cross Crusaders
1126,Holy Family Tigers
8404,Hood Blazers
286,Hope Flying Dutch
290,Howard Bison
1130,Huntingdon Hawks
1133,Husson Eagles
30172,IIT Scarlet Hawks
300,Ill. Wesleyan Titans
303,Immaculata Mighty Macs
307,Indiana (PA) Crimson Hawks
310,Iona Gaels
313,Ithaca Bombers
316,Jacksonville Dolphins
317,James Madison Dukes
543,Jefferson Rams
320,John Carroll Blue Streaks
322,Johns Hopkins Blue Jays
325,Juniata Eagles
22626,JWU (Providence) Wildcats
326,Kalamazoo Hornets
329,Kean Cougars
330,Keene St. Owls
1157,Kennesaw St. Owls
331,Kent St. Golden Flashes
335,Kenyon Ladies
1159,Keuka Wolves
30047,Keystone Giants
336,King's (PA) Monarchs
339,Kutztown Golden Bears
1163,La Roche Redhawks
340,La Salle Explorers
342,Lafayette Leopards
2746,Lake Erie Storm
344,Lake Forest Foresters
30085,Lancaster Bible Chargers
1167,Lander Bearcats
8486,Lasell Lasers
349,Le Moyne Dolphins
351,Lebanon Valley Flying Dutchmen
30013,Lee Lady Flames
13302,Lees-McRae Bobcats
352,Lehigh Mountain Hawks
1170,Lenoir-Rhyne Bears
354,Lewis Flyers
355,Liberty Lady Flames
1174,Limestone Saints
1176,Lincoln Memorial Lady Railsplitters
30136,Lindenwood Lions
1179,Linfield Wildcats
361,LIU Sharks
360,Lock Haven Bald Eagles
363,Longwood Lancers
367,Louisville Cardinals
369,Loyola Maryland Greyhounds
373,Lycoming Warriors
374,Lynchburg Hornets
20794,Lynn Fighting Knights
378,Maine Maritime Mariners
381,Manhattan Jaspers
382,Manhattanville Valiants
1196,Marian (WI) Sabres
385,Marietta Pioneers
386,Marist Red Foxes
387,Marquette Golden Eagles
1199,Mars Hill Lions
390,Mary Washington Eagles
392,"Maryland Terrapins, Terps"
394,Marymount (VA) Saints
395,Maryville (MO) Saints
397,Marywood Pacers
399,Mass. Maritime Buccaneers
400,Massachusetts Minutewomen
773,McDaniel Green Terror
30138,McKendree Bearcats
486,MCLA Trailblazers
379,Me.-Farmington Beavers
23725,Medaille Mavericks
406,Mercer Bears
724,Merchant Marine Mariners
407,Mercy Mavericks
408,Mercyhurst Lakers
409,Meredith Avenging Angels
410,Merrimack Warriors
411,Messiah Falcons
412,Methodist Monarchs
418,Michigan Wolverines
420,Middlebury Panthers
423,Millersville Marauders
16142,Misericordia Cougars
9013,Missouri Western Griffons
398,MIT Engineers
30042,Mitchell Mariners
437,Molloy Lions
438,Monmouth (IL) Fighting Scots
439,Monmouth Hawks
442,Montclair St. Red Hawks
1238,Montevallo Falcons
443,Moravian Greyhounds
30036,Mount Aloysius Mounties
449,Mount Holyoke Lyons
1245,Mount Olive Trojans
450,Mount St. Mary's Mountaineers
452,Mount Union Purple Raiders
8567,Mt. St. Joseph Lions
1468,Mt. St. Mary (NY) Knights
453,Muhlenberg Mules
455,Muskingum Fighting Muskies
491,N.C. Wesleyan Battling Bishops
13028,Anderson (SC) Trojans
147,Clemson Tigers
595,Saint Benedict Bennies
204,Eastern Mich. Eagles
282,William Smith Herons
1402,Thomas More Saints
23413,Trinity Washington Tigers
272,Hartford Hawks
572,Rhode Island Rams
803,Wis.-Stout Blue Devils
30120,William Jewell Cardinals
812,Xavier Musketeers
726,Navy Midshipmen
461,Nazareth Golden Flyers
1254,Neumann Knights
467,New England Col. Pilgrims
469,New Hampshire Wildcats
470,New Haven Chargers
1257,Newberry Wolves
482,Niagara Purple Eagles
484,Nichols Bison
457,North Carolina Tar Heels
492,North Central (IL) Cardinals
9223,North Greenville Crusaders
506,Northern Mich. Wildcats
509,Northwestern Wildcats
30031,Northwestern-St. Paul Eagles
511,Norwich Cadets
8600,Notre Dame (MD) Gators
30126,Notre Dame (OH) Falcons
513,Notre Dame Fighting Irish
30065,NVU-Lyndon Hornets
515,Oberlin Yeowomen
516,Occidental Tigers
2713,Oglethorpe Stormy Petrels
517,Ohio Northern Polar Bears
518,Ohio St. Buckeyes
520,Ohio Wesleyan Battling Bishops
523,Old Dominion Monarchs
524,Old Westbury Panthers
529,Oregon Ducks
530,Oswego St. Lakers
531,Otterbein Cardinals
533,Pace Setters
2751,Pacific (OR) Boxers
30045,Palm Beach Atl. Sailfish
540,Penn Quakers
539,Penn St. Nittany Lions
542,Pfeiffer Falcons
21830,Piedmont Lions
545,Pittsburgh Panthers
547,Plattsburgh St. Cardinals
548,Plymouth St. Panthers
549,Pomona-Pitzer Sagehens
1318,Post Eagles
1320,Presbyterian Blue Hose
554,Princeton Tigers
557,Puget Sound Loggers
30029,Purchase Panthers
11504,Queens (NC) Royals
561,Quincy Hawks
562,Quinnipiac Bobcats
563,Radford Highlanders
564,Ramapo Roadrunners
566,Randolph WildCats
565,Randolph-Macon Yellow Jackets
567,Redlands Bulldogs
568,Regis (CO) Rangers
569,Regis (MA) Pride
570,Rensselaer Engineers
571,Rhode Island Col. Anchorwomen
573,Rhodes Lynx
575,Richmond Spiders
580,RIT Tigers
18422,Rivier Raiders
578,Roanoke Maroons
579,Robert Morris Colonials
30150,Roberts Wesleyan Redhawks
581,Rochester (NY) Yellowjackets
1328,Rockhurst Hawks
583,Roger Williams Hawks
584,Rollins Tars
259,Rowan Profs
11036,Russell Sage Gators
587,Rutgers Scarlet Knights
588,Rutgers-Camden Scarlet Raptors
590,Sacred Heart Pioneers
600,Saint Francis (PA) The Red Flash
8687,Saint Joseph (CT) Blue Jays
606,Saint Joseph's Hawks
608,Saint Leo Lions
613,Saint Michael's Purple Knights
1347,Saint Rose Golden Knights
30064,Saint Vincent Bearcats
621,Salem St. Lady Vikings
622,Salisbury Sea Gulls
623,Salve Regina Seahawks
626,San Diego St. Aztecs
633,Scranton Royals
30063,Seton Hill Griffins
652,Sewanee Tigers
637,Shenandoah Hornets
10870,Shepherd Rams
638,Shippensburg Raiders
30151,Shorter Lady Hawks
639,Siena Saints
640,Simmons Sharks
642,Skidmore Thoroughbreds
643,Slippery Rock The Rock
644,Smith Pioneers
657,Southern California Trojans
658,Southern Conn. St. Owls
662,Southern Me. Huskies
468,Southern N.H. Penmen
30164,Southern Va. Knights
30192,Southern Wesleyan Warriors
8746,Southwestern (TX) Pirates
23260,Spalding Golden Eagles
673,Springfield Pride
593,St. Anselm Hawks
596,St. Bonaventure Bonnies
601,St. John Fisher Cardinals
1340,St. Joseph's (L.I.) Golden Eagles
605,St. Joseph's (ME) Monks
607,St. Lawrence Saints
8688,St. Mary's (IN) Belles
611,St. Mary's (MD) Seahawks
1348,St. Thomas Aquinas Spartans
674,Stanford Cardinal
678,Stetson Hatters
679,Stevens Ducks
21852,Stevenson Mustangs
681,Stockton Ospreys
682,Stonehill Skyhawks
683,Stony Brook Seawolves
