team_name,team_id,season,conference,conference_id,jersey,player,pos,yr,g,gs
Bellarmine Knights,52,2022,ASUN,920,33,"Batista, Dante",GK,Fr,6,2
Bellarmine Knights,52,2022,ASUN,920,16,"Berggren, Jacob",M,Sr,17,14
Bellarmine Knights,52,2022,ASUN,920,4,"Bozik, Jack",GK,Jr,2,0
Bellarmine Knights,52,2022,ASUN,920,14,"Brown, Brayden",ATT,Sr,11,10
Bellarmine Knights,52,2022,ASUN,920,88,"Coopman, Max",DM,So,16,9
Bellarmine Knights,52,2022,ASUN,920,13,"Cunningham, Jack",M,So,5,0
Bellarmine Knights,52,2022,ASUN,920,28,"DellaRocco, Christian",ATT,So,17,15
Bellarmine Knights,52,2022,ASUN,920,38,"Dzwilewski, Shane",D,Fr,0,0
Bellarmine Knights,52,2022,ASUN,920,1,"Fearn, Aidan",FO,Fr,10,1
Bellarmine Knights,52,2022,ASUN,920,47,"Fialkowski, Tommy",D,So,16,5
Bellarmine Knights,52,2022,ASUN,920,11,"Freiberg, Parker",M,Jr,0,0
Bellarmine Knights,52,2022,ASUN,920,35,"Gabriel, Bobby",D,Jr,5,0
Bellarmine Knights,52,2022,ASUN,920,20,"Hammersly, Jackson",DM,So,4,0
Bellarmine Knights,52,2022,ASUN,920,30,"Healy, Josh",M,So,5,0
Bellarmine Knights,52,2022,ASUN,920,7,"Herbert, Cameron",M,Sr,3,0
Bellarmine Knights,52,2022,ASUN,920,45,"Higginbotham, JC",GK,Jr,16,15
Bellarmine Knights,52,2022,ASUN,920,24,"Hubbs, Benjamin",ATT,Fr,15,7
Bellarmine Knights,52,2022,ASUN,920,34,"Imperato, John",M,Fr,1,0
Bellarmine Knights,52,2022,ASUN,920,6,"Keegan, Patrick",M,Sr,14,2
Bellarmine Knights,52,2022,ASUN,920,2,"Lambe, Kevin",M,Sr,14,0
Bellarmine Knights,52,2022,ASUN,920,40,"Legnard, Luke",M,Sr,9,1
Bellarmine Knights,52,2022,ASUN,920,99,"Long, Brady",D,Fr,17,17
Bellarmine Knights,52,2022,ASUN,920,18,"Lowry, Brody",ATT,Sr,3,0
Bellarmine Knights,52,2022,ASUN,920,21,"Macdonald, Denton",M,So,17,15
Bellarmine Knights,52,2022,ASUN,920,19,"McDermott, Brennan",M,Fr,14,0
Bellarmine Knights,52,2022,ASUN,920,12,"Messick, Cole",FO,Fr,17,1
Bellarmine Knights,52,2022,ASUN,920,25,"Murphree, Wilson",M,So,3,0
Bellarmine Knights,52,2022,ASUN,920,50,"Murray, Collin",D,Sr,13,0
Bellarmine Knights,52,2022,ASUN,920,44,"Noland, Gavin",ATT,Fr,2,0
Bellarmine Knights,52,2022,ASUN,920,22,"O'Rourk, Benny",M,Jr,17,7
Bellarmine Knights,52,2022,ASUN,920,5,"Oladunmoye, Tayo",M,So,16,2
Bellarmine Knights,52,2022,ASUN,920,3,"Pate, Harrison",M,Jr,17,13
Bellarmine Knights,52,2022,ASUN,920,17,"Pattinson, Ethan",M,Sr,7,0
Bellarmine Knights,52,2022,ASUN,920,52,"Playsted, Kyle",ATT,So,15,15
Bellarmine Knights,52,2022,ASUN,920,41,"Robbins, Jon",M,Sr,17,17
Bellarmine Knights,52,2022,ASUN,920,10,"Roshkowski, Blake",M,Sr,0,0
Bellarmine Knights,52,2022,ASUN,920,77,"Roth, Jesse",M,Jr,17,2
Bellarmine Knights,52,2022,ASUN,920,26,"Sheremetta, Nicholas",D,Fr,10,0
Bellarmine Knights,52,2022,ASUN,920,37,"Simonton, J.T.",FO,Sr,16,0
Bellarmine Knights,52,2022,ASUN,920,51,"Sinon, Lukas",M,So,16,0
Bellarmine Knights,52,2022,ASUN,920,55,"Smith, Jayden",DM,Fr,13,0
Bellarmine Knights,52,2022,ASUN,920,48,"Taylor, Ben",D,Jr,4,0
Bellarmine Knights,52,2022,ASUN,920,49,"Tulett, Dylan",M,Sr,7,0
Bellarmine Knights,52,2022,ASUN,920,9,"Ury, Matt",D,Sr,2,0
Bellarmine Knights,52,2022,ASUN,920,29,"Wescoat, Justin",M,Fr,17,0
Bellarmine Knights,52,2022,ASUN,920,8,"Wilkins, Jaden",M,Fr,3,0
Bellarmine Knights,52,2022,ASUN,920,15,"Winner, Preston",M,Jr,4,0
Bellarmine Knights,52,2021,SoCon,912,36,"Bowie, Griffin",M,Sr,15,9
Bellarmine Knights,52,2021,SoCon,912,4,"Bozik, Jack",GK,So,2,1
Bellarmine Knights,52,2021,SoCon,912,14,"Brown, Brayden",ATT,Sr,4,4
Bellarmine Knights,52,2021,SoCon,912,29,"Coopman, Max",DM,Fr,1,0
Bellarmine Knights,52,2021,SoCon,912,13,"Cunningham, Jack",,Fr,2,0
Bellarmine Knights,52,2021,SoCon,912,26,"Cyr, Parker",D,Fr,2,0
Bellarmine Knights,52,2021,SoCon,912,44,"Dean, Dominic",,Fr,2,0
Bellarmine Knights,52,2021,SoCon,912,28,"DellaRocco, Christian",,Fr,11,7
Bellarmine Knights,52,2021,SoCon,912,24,"Fairbanks, Chase",D,Jr,12,6
Bellarmine Knights,52,2021,SoCon,912,3,"Fennell, Brendan",D,Sr,15,15
Bellarmine Knights,52,2021,SoCon,912,47,"Fialkowski, Tommy",D,Fr,5,0
Bellarmine Knights,52,2021,SoCon,912,11,"Freiberg, Parker",M,So,2,0
Bellarmine Knights,52,2021,SoCon,912,35,"Gabriel, Bobby",D,So,1,0
Bellarmine Knights,52,2021,SoCon,912,20,"Hammersly, Jackson",DM,Fr,4,0
Bellarmine Knights,52,2021,SoCon,912,19,"Harran, Tate",,Fr,2,0
Bellarmine Knights,52,2021,SoCon,912,30,"Healy, Josh",,Fr,14,0
Bellarmine Knights,52,2021,SoCon,912,7,"Herbert, Cameron",M,Jr,0,0
Bellarmine Knights,52,2021,SoCon,912,45,"Higginbotham, JC",GK,So,13,12
Bellarmine Knights,52,2021,SoCon,912,6,"Keegan, Patrick",M,Jr,13,1
Bellarmine Knights,52,2021,SoCon,912,2,"Lambe, Kevin",M,Jr,4,0
Bellarmine Knights,52,2021,SoCon,912,40,"Legnard, Luke",M,Sr,14,9
Bellarmine Knights,52,2021,SoCon,912,18,"Lowry, Brody",ATT,Jr,5,2
Bellarmine Knights,52,2021,SoCon,912,21,"Macdonald, Denton",M,Fr,13,0
Bellarmine Knights,52,2021,SoCon,912,25,"Murphree, Wilson",M,Fr,8,0
Bellarmine Knights,52,2021,SoCon,912,50,"Murray, Collin",D,Sr,8,0
Bellarmine Knights,52,2021,SoCon,912,22,"O'Rourk, Benny",M,So,14,13
Bellarmine Knights,52,2021,SoCon,912,5,"Oladunmoye, Tayo",M,Fr,12,2
Bellarmine Knights,52,2021,SoCon,912,33,"Pate, Harrison",M,So,14,0
Bellarmine Knights,52,2021,SoCon,912,17,"Pattinson, Ethan",M,Jr,1,0
Bellarmine Knights,52,2021,SoCon,912,39,"Playsted, Kyle",,Fr,15,14
Bellarmine Knights,52,2021,SoCon,912,16,"Reilly, Ian",GK,Sr,4,2
Bellarmine Knights,52,2021,SoCon,912,12,"Rhodes, Preston",ATT,So,8,2
Bellarmine Knights,52,2021,SoCon,912,41,"Robbins, Jon",M,Sr,15,15
Bellarmine Knights,52,2021,SoCon,912,10,"Roshkowski, Blake",M,Sr,5,0
Bellarmine Knights,52,2021,SoCon,912,42,"Roth, Jesse",M,So,2,1
Bellarmine Knights,52,2021,SoCon,912,85,"Rubak, Eric",D,Sr,15,15
Bellarmine Knights,52,2021,SoCon,912,37,"Simonton, J.T.",FO,Sr,11,0
Bellarmine Knights,52,2021,SoCon,912,51,"Sinon, Lukas",M,Fr,1,0
Bellarmine Knights,52,2021,SoCon,912,55,"Spilker, Harrison",GK,Fr,1,0
Bellarmine Knights,52,2021,SoCon,912,48,"Taylor, Ben",D,So,10,0
Bellarmine Knights,52,2021,SoCon,912,34,"Tomas, Trent",M,Sr,15,0
Bellarmine Knights,52,2021,SoCon,912,27,"Trout, Landon",ATT,Sr,15,12
Bellarmine Knights,52,2021,SoCon,912,49,"Tulett, Dylan",M,Sr,13,0
Bellarmine Knights,52,2021,SoCon,912,9,"Ury, Matt",D,Jr,15,2
Bellarmine Knights,52,2021,SoCon,912,1,"Vaxman, Bryce",D,Sr,9,0
Bellarmine Knights,52,2021,SoCon,912,23,"Whiteford, James",M,Sr,15,6
Bellarmine Knights,52,2021,SoCon,912,15,"Winner, Preston",M,So,1,0
Bellarmine Knights,52,2020,SoCon,912,36,"Bowie, Griffin",M,Jr,8,8
Bellarmine Knights,52,2020,SoCon,912,4,"Bozik, Jack",GK,Fr,1,0
Bellarmine Knights,52,2020,SoCon,912,14,"Brown, Brayden",ATT,Jr,8,8
Bellarmine Knights,52,2020,SoCon,912,13,"Clarke, Lucas",M,So,8,0
Bellarmine Knights,52,2020,SoCon,912,8,"Collins, Jacob",M,So,1,0
Bellarmine Knights,52,2020,SoCon,912,20,"Daniels, John",D,Jr,3,0
Bellarmine Knights,52,2020,SoCon,912,30,"Doherty, Tucker",M,Sr,2,0
Bellarmine Knights,52,2020,SoCon,912,24,"Fairbanks, Chase",D,So,8,7
Bellarmine Knights,52,2020,SoCon,912,3,"Fennell, Brendan",D,Sr,7,7
Bellarmine Knights,52,2020,SoCon,912,21,"Franceschini, Thomas",D,Sr,8,6
Bellarmine Knights,52,2020,SoCon,912,5,"Freiberg, Parker",M,Fr,0,0
Bellarmine Knights,52,2020,SoCon,912,35,"Gabriel, Bobby",D,Fr,1,0
Bellarmine Knights,52,2020,SoCon,912,7,"Herbert, Cameron",M,So,3,0
Bellarmine Knights,52,2020,SoCon,912,45,"Higginbotham, JC",GK,Fr,6,6
Bellarmine Knights,52,2020,SoCon,912,2,"Kalata, Brentley",M,Sr,3,0
Bellarmine Knights,52,2020,SoCon,912,6,"Keegan, Patrick",M,So,5,0
Bellarmine Knights,52,2020,SoCon,912,28,"Lambe, Kevin",M,So,3,0
Bellarmine Knights,52,2020,SoCon,912,40,"Legnard, Luke",M,Jr,8,8
Bellarmine Knights,52,2020,SoCon,912,77,"Lockyear, Turner",M,Sr,7,0
Bellarmine Knights,52,2020,SoCon,912,18,"Lowry, Brody",ATT,So,3,0
Bellarmine Knights,52,2020,SoCon,912,11,"Macko, Morgan",ATT,Sr,8,8
Bellarmine Knights,52,2020,SoCon,912,50,"Murray, Collin",D,Jr,5,0
Bellarmine Knights,52,2020,SoCon,912,22,"O'Rourk, Benny",M,Fr,8,7
Bellarmine Knights,52,2020,SoCon,912,33,"Pate, Harrison",M,Fr,8,0
Bellarmine Knights,52,2020,SoCon,912,17,"Pattinson, Ethan",M,So,8,0
Bellarmine Knights,52,2020,SoCon,912,16,"Reilly, Ian",GK,Sr,6,2
Bellarmine Knights,52,2020,SoCon,912,12,"Rhodes, Preston",ATT,Fr,1,0
Bellarmine Knights,52,2020,SoCon,912,41,"Robbins, Jon",M,Jr,8,2
Bellarmine Knights,52,2020,SoCon,912,10,"Roshkowski, Blake",M,Jr,8,0
Bellarmine Knights,52,2020,SoCon,912,42,"Roth, Jesse",M,Fr,4,0
Bellarmine Knights,52,2020,SoCon,912,85,"Rubak, Eric",D,Sr,5,2
Bellarmine Knights,52,2020,SoCon,912,37,"Simonton, J.T.",FO,Jr,7,0
Bellarmine Knights,52,2020,SoCon,912,48,"Taylor, Ben",D,Fr,3,0
Bellarmine Knights,52,2020,SoCon,912,34,"Tomas, Trent",M,Jr,7,0
Bellarmine Knights,52,2020,SoCon,912,27,"Trout, Landon",ATT,Jr,8,8
Bellarmine Knights,52,2020,SoCon,912,49,"Tulett, Dylan",M,Jr,8,0
Bellarmine Knights,52,2020,SoCon,912,29,"Ury, Matt",D,So,7,0
Bellarmine Knights,52,2020,SoCon,912,1,"Vaxman, Bryce",D,Jr,7,0
Bellarmine Knights,52,2020,SoCon,912,23,"Whiteford, James",M,Jr,8,1
Bellarmine Knights,52,2020,SoCon,912,15,"Winner, Preston",M,Fr,1,0
Bellarmine Knights,52,2020,SoCon,912,44,"Wolfson, Cole",M,Sr,1,0
Bellarmine Knights,52,2019,SoCon,912,36,"Bowie, Griffin",M,So,9,0
Bellarmine Knights,52,2019,SoCon,912,14,"Brown, Brayden",ATT,So,8,0
Bellarmine Knights,52,2019,SoCon,912,4,"Burns, Jack",ATT,Fr,1,0
Bellarmine Knights,52,2019,SoCon,912,33,"Cartor, Max",GK,Sr,0,0
Bellarmine Knights,52,2019,SoCon,912,22,"Chand, Daniel",ATT,Fr,0,0
Bellarmine Knights,52,2019,SoCon,912,13,"Clarke, Lucas",M,Fr,1,0
Bellarmine Knights,52,2019,SoCon,912,8,"Collins, Jacob",M,Fr,0,0
