team_name,team_id,head_coach,seasons_coached,wins,losses,ties,wl_per
Adelphi Panthers,3,Jill Lessne,7,81,18,0,0.818
Adelphi Panthers,3,Joe Spallina,4,73,2,0,0.973
Adelphi Panthers,3,Pat McCabe,8,131,17,0,0.885
Adelphi Panthers,3,Rob Grella,3,56,6,0,0.903
Adrian Bulldogs,4,John Sung,4,46,19,0,0.708
Adrian Bulldogs,4,Elizabeth Szymanski,4,11,45,0,0.196
Adrian Bulldogs,4,Brett Asher,3,13,20,0,0.394
Adrian Bulldogs,4,Cibulas Cibulas,2,33,5,1,0.859
Adrian Bulldogs,4,Kali Bills,1,4,12,0,0.25
Adrian Bulldogs,4,Melissa Nakasuji,1,12,6,0,0.667
Akron Zips,5,Christy Mitchell,3,9,30,0,0.231
Alabama Huntsville Chargers,10,Gail Wallach,6,74,22,0,0.771
Alabama Huntsville Chargers,10,Akasha Kaspar,1,11,6,0,0.647
Albertus Magnus Falcons,2798,Joe Caruso,7,19,69,0,0.216
Albertus Magnus Falcons,2798,Danielle Pannone,1,3,13,0,0.188
Albion Britons,15,Jackie Rutkowski,3,6,23,0,0.207
Albion Britons,15,Shanta Loecker,6,54,42,0,0.563
Albion Britons,15,Laurie Merian,4,41,16,0,0.719
Albright Lions,16,Jen Willis,11,91,85,0,0.517
Alderson Broaddus Battlers,934,Jennifer Guess,3,11,35,0,0.239
Alderson Broaddus Battlers,934,Angelique Rudy,3,16,31,0,0.34
Alderson Broaddus Battlers,934,Paxton Boyer,2,6,9,0,0.4
Alderson Broaddus Battlers,934,Brendan Hayes,1,0,13,0,0
Alfred Saxons,18,Samantha Patton (Valder),8,25,75,0,0.25
Alfred Saxons,18,Erynn Anderson,3,9,36,0,0.2
Alfred Saxons,18,Kathleen Nepp,2,3,17,0,0.15
Alfred Saxons,18,Erin McGaffigan,3,1,30,0,0.032
Alfred Saxons,18,Rebecca Streeten,1,1,5,0,0.167
Alfred Saxons,18,Johanna McCormick,1,3,11,0,0.214
Alfred Saxons,18,Julie Decker,0,0,0,0,NA
Alfred Saxons,18,Eleanor Shriver Magee,2,5,15,1,0.262
Allegheny Gators,19,Lynn Zlotkowski,2,13,16,0,0.448
Allegheny Gators,19,Stephanie Janice,3,31,20,0,0.608
Allegheny Gators,19,Ashley Hughes,8,61,52,0,0.54
Allegheny Gators,19,Paula Habel,3,18,26,0,0.409
Allegheny Gators,19,Paul Bonus,3,20,21,0,0.488
Allegheny Gators,19,Patty Pehnke,1,10,5,0,0.667
Allegheny Gators,19,Stephanie Ridolfi,2,8,18,0,0.308
Alliance Lady Warriors,1277,Anne Dietrich-Reis,5,15,64,0,0.19
Alliance Lady Warriors,1277,Lauren Lebo,3,9,25,0,0.265
Alliance Lady Warriors,1277,Emily Sigmon,1,0,4,0,0
Alliance Lady Warriors,1277,Douglas Walker,1,0,10,0,0
Alma Scots,21,Ashley Johnson,7,36,51,0,0.414
Alma Scots,21,Laurie Merian,3,35,17,0,0.673
Alma Scots,21,Christie Havrilla,1,5,11,0,0.313
Alvernia Golden Wolves,938,Kelly McCloskey,13,90,113,1,0.444
Alvernia Golden Wolves,938,Lynne Elphick (Nester),1,6,8,0,0.429
Alvernia Golden Wolves,938,Megan Corrigan,4,18,34,0,0.346
Alvernia Golden Wolves,938,Jennifer Gossert,3,9,30,0,0.231
Alvernia Golden Wolves,938,Dana Blankenbiller,1,1,9,0,0.1
American Eagles,23,Katie Woods,4,26,42,0,0.382
American Eagles,23,Laura Campbell,2,16,18,0,0.471
American Eagles,23,Emma Wallace,6,28,73,0,0.277
American Eagles,23,Anne Wilkinson,5,9,60,0,0.13
American Eagles,23,Ashley Flanigan,3,20,32,0,0.385
American Eagles,23,Maureen Dupcak,6,45,54,0,0.455
American Eagles,23,Jenna Petrucelli,1,7,10,0,0.412
American Eagles,23,Lindsay Teeters,2,10,16,0,0.385
American Eagles,23,Amy Bokker,1,8,8,0,0.5
American Eagles,23,Maureen Breslin,1,7,0,0,1
American Int'l Yellow Jackets,22,Shawn Lawrence,2,3,21,0,0.125
American Int'l Yellow Jackets,22,April Pollock,8,30,98,0,0.234
American Int'l Yellow Jackets,22,Ashley Casiano,4,20,48,0,0.294
American Int'l Yellow Jackets,22,Maria Cardaropoli,2,10,14,0,0.417
American Int'l Yellow Jackets,22,Riley Brennan,3,8,25,0,0.242
American Int'l Yellow Jackets,22,Alison Rosenblat (Pratt),1,1,11,0,0.083
Amherst Mammoths,24,Christine Paradis,27,321,123,0,0.723
Amherst Mammoths,24,Sue Everden,5,19,34,0,0.358
Amherst Mammoths,24,Brooke Diamond O'Brien,0,0,0,0,NA
Anderson (IN) Ravens,939,Colin McSharar,2,2,11,0,0.154
Anderson (IN) Ravens,939,Russell Mackey,2,8,15,0,0.348
Anna Maria AMCATS,26,Melissa Callender,3,7,39,0,0.152
Anna Maria AMCATS,26,Sarah Merrill,2,4,20,0,0.167
Anna Maria AMCATS,26,Lauryn Serratore,1,2,12,0,0.143
Anna Maria AMCATS,26,Samantha Aucoin,2,0,25,0,0
Anna Maria AMCATS,26,Quincy Wilkins,1,2,1,0,0.667
Arcadia Knights,966,Lucinda Joseph,7,24,77,0,0.238
Arcadia Knights,966,Erin Livingston,5,60,33,0,0.645
Arcadia Knights,966,April Pollock,2,15,19,0,0.441
Arcadia Knights,966,Sam Hosford,4,15,38,0,0.283
Arcadia Knights,966,Hannah Wszalek,1,7,10,0,0.412
Arizona St. Sun Devils,28,Courtney Martinez-Connor,2,12,24,0,0.333
Arizona St. Sun Devils,28,Tim McCormack,3,26,17,0,0.605
Arizona St. Sun Devils,28,Taryn Vanthof,0,0,0,0,NA
Army West Point Black Knights,725,Kristen Skiera,6,46,40,0,0.535
Army West Point Black Knights,725,Michelle Tumolo,1,12,6,0,0.667
Ashland Eagles,35,Shaun Williamson,2,7,15,0,0.318
Ashland Eagles,35,Becky Clark,2,6,23,0,0.207
